,X,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Side,Deck,CabinNumbers
178,174,no,3,male,21,0,0,7.925,Southampton,Mr,NA,NA,NA
179,175,no,1,male,56,0,0,30.6958,Cherbourg,Mr,Steuerbord,A,7
180,176,no,3,male,18,1,1,7.8542,Southampton,Mr,NA,NA,NA
181,177,no,3,male,3.5,3,1,25.4667,Southampton,Master,NA,NA,NA
182,178,no,1,female,50,0,0,28.7125,Cherbourg,Ms,Steuerbord,C,49
183,179,no,2,male,30,0,0,13,Southampton,Mr,NA,NA,NA
184,180,no,3,male,36,0,0,0,Southampton,Mr,NA,NA,NA
185,181,no,3,female,22,8,2,69.55,Southampton,Ms,NA,NA,NA
186,182,no,2,male,30,0,0,15.05,Cherbourg,Mr,NA,NA,NA
187,183,no,3,male,9,4,2,31.3875,Southampton,Master,NA,NA,NA
188,184,yes,2,male,1,2,1,39,Southampton,Master,Backbord,F,4
189,185,yes,3,female,4,0,2,22.025,Southampton,Ms,NA,NA,NA
190,186,no,1,male,30,0,0,50,Southampton,Mr,Backbord,A,32
191,187,yes,3,female,35,1,0,15.5,Queenstown,Mrs,NA,NA,NA
192,188,yes,1,male,45,0,0,26.55,Southampton,Mr,NA,NA,NA
193,189,no,3,male,40,1,1,15.5,Queenstown,Mr,NA,NA,NA
194,190,no,3,male,36,0,0,7.8958,Southampton,Mr,NA,NA,NA
195,191,yes,2,female,32,0,0,13,Southampton,Mrs,NA,NA,NA
196,192,no,2,male,19,0,0,13,Southampton,Mr,NA,NA,NA
197,193,yes,3,female,19,1,0,7.8542,Southampton,Ms,NA,NA,NA
198,194,yes,2,male,3,1,1,26,Southampton,Master,Backbord,F,2
199,195,yes,1,female,44,0,0,27.7208,Cherbourg,Mrs,Backbord,B,4
200,196,yes,1,female,58,0,0,146.5208,Cherbourg,Ms,Backbord,B,80
201,197,no,3,male,30,0,0,7.75,Queenstown,Mr,NA,NA,NA
202,198,no,3,male,42,0,1,8.4042,Southampton,Mr,NA,NA,NA
203,199,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
204,200,no,2,female,24,0,0,13,Southampton,Ms,NA,NA,NA
205,201,no,3,male,28,0,0,9.5,Southampton,Mr,NA,NA,NA
206,202,no,3,male,30,8,2,69.55,Southampton,Mr,NA,NA,NA
207,203,no,3,male,34,0,0,6.4958,Southampton,Mr,NA,NA,NA
208,204,no,3,male,45.5,0,0,7.225,Cherbourg,Mr,NA,NA,NA
209,205,yes,3,male,18,0,0,8.05,Southampton,Mr,NA,NA,NA
210,206,no,3,female,2,0,1,10.4625,Southampton,Ms,Backbord,G,6
211,207,no,3,male,32,1,0,15.85,Southampton,Mr,NA,NA,NA
212,208,yes,3,male,26,0,0,18.7875,Cherbourg,Mr,NA,NA,NA
213,209,yes,3,female,16,0,0,7.75,Queenstown,Ms,NA,NA,NA
214,210,yes,1,male,40,0,0,31,Cherbourg,Mr,Steuerbord,A,31
215,211,no,3,male,24,0,0,7.05,Southampton,Mr,NA,NA,NA
216,212,yes,2,female,35,0,0,21,Southampton,Ms,NA,NA,NA
217,213,no,3,male,22,0,0,7.25,Southampton,Mr,NA,NA,NA
218,214,no,2,male,30,0,0,13,Southampton,Mr,NA,NA,NA
219,215,no,3,male,30,1,0,7.75,Queenstown,Mr,NA,NA,NA
220,216,yes,1,female,31,1,0,113.275,Cherbourg,Ms,Backbord,D,36
221,217,yes,3,female,27,0,0,7.925,Southampton,Ms,NA,NA,NA
222,218,no,2,male,42,1,0,27,Southampton,Mr,NA,NA,NA
223,219,yes,1,female,32,0,0,76.2917,Cherbourg,Ms,Steuerbord,D,15
224,220,no,2,male,30,0,0,10.5,Southampton,Mr,NA,NA,NA
225,221,yes,3,male,16,0,0,8.05,Southampton,Mr,NA,NA,NA
226,222,no,2,male,27,0,0,13,Southampton,Mr,NA,NA,NA
227,223,no,3,male,51,0,0,8.05,Southampton,Mr,NA,NA,NA
228,224,no,3,male,30,0,0,7.8958,Southampton,Mr,NA,NA,NA
229,225,yes,1,male,38,1,0,90,Southampton,Mr,Steuerbord,C,93
230,226,no,3,male,22,0,0,9.35,Southampton,Mr,NA,NA,NA
231,227,yes,2,male,19,0,0,10.5,Southampton,Mr,NA,NA,NA
232,228,no,3,male,20.5,0,0,7.25,Southampton,Mr,NA,NA,NA
233,229,no,2,male,18,0,0,13,Southampton,Mr,NA,NA,NA
234,230,no,3,female,22,3,1,25.4667,Southampton,Ms,NA,NA,NA
235,231,yes,1,female,35,1,0,83.475,Southampton,Mrs,Steuerbord,C,83
236,232,no,3,male,29,0,0,7.775,Southampton,Mr,NA,NA,NA
237,233,no,2,male,59,0,0,13.5,Southampton,Mr,NA,NA,NA
238,234,yes,3,female,5,4,2,31.3875,Southampton,Ms,NA,NA,NA
239,235,no,2,male,24,0,0,10.5,Southampton,Mr,NA,NA,NA
240,236,no,3,female,22,0,0,7.55,Southampton,Ms,NA,NA,NA
241,237,no,2,male,44,1,0,26,Southampton,Mr,NA,NA,NA
242,238,yes,2,female,8,0,2,26.25,Southampton,Ms,NA,NA,NA
243,239,no,2,male,19,0,0,10.5,Southampton,Mr,NA,NA,NA
244,240,no,2,male,33,0,0,12.275,Southampton,Mr,NA,NA,NA
245,241,no,3,female,22,1,0,14.4542,Cherbourg,Ms,NA,NA,NA
246,242,yes,3,female,22,1,0,15.5,Queenstown,Ms,NA,NA,NA
247,243,no,2,male,29,0,0,10.5,Southampton,Mr,NA,NA,NA
248,244,no,3,male,22,0,0,7.125,Southampton,Mr,NA,NA,NA
249,245,no,3,male,30,0,0,7.225,Cherbourg,Mr,NA,NA,NA
250,246,no,1,male,44,2,0,90,Queenstown,Mr,Backbord,C,78
251,247,no,3,female,25,0,0,7.775,Southampton,Ms,NA,NA,NA
252,248,yes,2,female,24,0,2,14.5,Southampton,Mrs,NA,NA,NA
253,249,yes,1,male,37,1,1,52.5542,Southampton,Mr,Steuerbord,D,35
254,250,no,2,male,54,1,0,26,Southampton,Mr,NA,NA,NA
255,251,no,3,male,30,0,0,7.25,Southampton,Mr,NA,NA,NA
256,252,no,3,female,29,1,1,10.4625,Southampton,Mrs,Backbord,G,6
257,253,no,1,male,62,0,0,26.55,Southampton,Mr,Steuerbord,C,87
258,254,no,3,male,30,1,0,16.1,Southampton,Mr,NA,NA,NA
259,255,no,3,female,41,0,2,20.2125,Southampton,Mrs,NA,NA,NA
260,256,yes,3,female,29,0,2,15.2458,Cherbourg,Mrs,NA,NA,NA
261,257,yes,1,female,35,0,0,79.2,Cherbourg,Mrs,NA,NA,NA
262,258,yes,1,female,30,0,0,86.5,Southampton,Ms,Steuerbord,B,77
263,259,yes,1,female,35,0,0,512.3292,Cherbourg,Ms,NA,NA,NA
264,260,yes,2,female,50,0,1,26,Southampton,Mrs,NA,NA,NA
265,261,no,3,male,30,0,0,7.75,Queenstown,Mr,NA,NA,NA
266,262,yes,3,male,3,4,2,31.3875,Southampton,Master,NA,NA,NA
267,263,no,1,male,52,1,1,79.65,Southampton,Mr,Steuerbord,E,67
268,264,no,1,male,40,0,0,0,Southampton,Mr,Backbord,B,94
269,265,no,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
270,266,no,2,male,36,0,0,10.5,Southampton,Mr,NA,NA,NA
271,267,no,3,male,16,4,1,39.6875,Southampton,Mr,NA,NA,NA
272,268,yes,3,male,25,1,0,7.775,Southampton,Mr,NA,NA,NA
273,269,yes,1,female,58,0,1,153.4625,Southampton,Mrs,Steuerbord,C,125
274,270,yes,1,female,35,0,0,135.6333,Southampton,Ms,Steuerbord,C,99
275,271,no,1,male,30,0,0,31,Southampton,Mr,NA,NA,NA
276,272,yes,3,male,25,0,0,0,Southampton,Mr,NA,NA,NA
277,273,yes,2,female,41,0,1,19.5,Southampton,Mrs,NA,NA,NA
278,274,no,1,male,37,0,1,29.7,Cherbourg,Mr,Backbord,C,118
279,275,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
280,276,yes,1,female,63,1,0,77.9583,Southampton,Ms,Steuerbord,D,7
281,277,no,3,female,45,0,0,7.75,Southampton,Ms,NA,NA,NA
282,278,no,2,male,30,0,0,0,Southampton,Mr,NA,NA,NA
283,279,no,3,male,7,4,1,29.125,Queenstown,Master,NA,NA,NA
284,280,yes,3,female,35,1,1,20.25,Southampton,Mrs,NA,NA,NA
285,281,no,3,male,65,0,0,7.75,Queenstown,Mr,NA,NA,NA
286,282,no,3,male,28,0,0,7.8542,Southampton,Mr,NA,NA,NA
287,283,no,3,male,16,0,0,9.5,Southampton,Mr,NA,NA,NA
288,284,yes,3,male,19,0,0,8.05,Southampton,Mr,NA,NA,NA
289,285,no,1,male,30,0,0,26,Southampton,Mr,Steuerbord,A,19
290,286,no,3,male,33,0,0,8.6625,Cherbourg,Mr,NA,NA,NA
291,287,yes,3,male,30,0,0,9.5,Southampton,Mr,NA,NA,NA
292,288,no,3,male,22,0,0,7.8958,Southampton,Mr,NA,NA,NA
293,289,yes,2,male,42,0,0,13,Southampton,Mr,NA,NA,NA
294,290,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
295,291,yes,1,female,26,0,0,78.85,Southampton,Ms,NA,NA,NA
296,292,yes,1,female,19,1,0,91.0792,Cherbourg,Mrs,Steuerbord,B,49
297,293,no,2,male,36,0,0,12.875,Cherbourg,Mr,,,
298,294,no,3,female,24,0,0,8.85,Southampton,Ms,NA,NA,NA
299,295,no,3,male,24,0,0,7.8958,Southampton,Mr,NA,NA,NA
300,296,no,1,male,30,0,0,27.7208,Cherbourg,Mr,NA,NA,NA
301,297,no,3,male,23.5,0,0,7.2292,Cherbourg,Mr,NA,NA,NA
302,298,no,1,female,2,1,2,151.55,Southampton,Ms,Backbord,C,22
303,26,,NA,,NA,NA,NA,NA,,,,,
304,299,yes,1,male,30,0,0,30.5,Southampton,Mr,Backbord,C,106
305,300,yes,1,female,50,0,1,247.5208,Cherbourg,Mrs,Backbord,B,58
306,60,,NA,,NA,NA,NA,NA,,,,,
307,301,yes,3,female,22,0,0,7.75,Queenstown,Ms,NA,NA,NA
308,302,yes,3,male,30,2,0,23.25,Queenstown,Mr,NA,NA,NA
309,303,no,3,male,19,0,0,0,Southampton,Mr,NA,NA,NA
310,304,yes,2,female,22,0,0,12.35,Queenstown,Ms,Steuerbord,E,101
311,305,no,3,male,30,0,0,8.05,Southampton,Mr,NA,NA,NA
312,306,yes,1,male,0.92,1,2,151.55,Southampton,Master,Backbord,C,22
313,26,,NA,,NA,NA,NA,NA,,,,,
314,307,yes,1,female,22,0,0,110.8833,Cherbourg,Ms,NA,NA,NA
315,308,yes,1,female,17,1,0,108.9,Cherbourg,Mrs,Steuerbord,C,65
316,309,no,2,male,30,1,0,24,Cherbourg,Mr,NA,NA,NA
317,310,yes,1,female,30,0,0,56.9292,Cherbourg,Ms,Backbord,E,36
318,311,yes,1,female,24,0,0,83.1583,Cherbourg,Ms,Backbord,C,54
319,312,yes,1,female,18,2,2,262.375,Cherbourg,Ms,Steuerbord, Backbord,B
320,57, 59,63, 66,NA,NA,NA,NA,,,,,
321,313,no,2,female,26,1,1,26,Southampton,Mrs,NA,NA,NA
322,314,no,3,male,28,0,0,7.8958,Southampton,Mr,NA,NA,NA
323,315,no,2,male,43,1,1,26.25,Southampton,Mr,NA,NA,NA
324,316,yes,3,female,26,0,0,7.8542,Southampton,Ms,NA,NA,NA
325,317,yes,2,female,24,1,0,26,Southampton,Mrs,NA,NA,NA
326,318,no,2,male,54,0,0,14,Southampton,Mr,NA,NA,NA
327,319,yes,1,female,31,0,2,164.8667,Southampton,Ms,Steuerbord,C,7
328,320,yes,1,female,40,1,1,134.5,Cherbourg,Mrs,Backbord,E,34
329,321,no,3,male,22,0,0,7.25,Southampton,Mr,NA,NA,NA
330,322,no,3,male,27,0,0,7.8958,Southampton,Mr,NA,NA,NA
331,323,yes,2,female,30,0,0,12.35,Queenstown,Ms,NA,NA,NA
332,324,yes,2,female,22,1,1,29,Southampton,Mrs,NA,NA,NA
333,325,no,3,male,30,8,2,69.55,Southampton,Mr,NA,NA,NA
334,326,yes,1,female,36,0,0,135.6333,Cherbourg,Ms,Backbord,C,32
335,327,no,3,male,61,0,0,6.2375,Southampton,Mr,NA,NA,NA
336,328,yes,2,female,36,0,0,13,Southampton,Mrs,,,
337,329,yes,3,female,31,1,1,20.525,Southampton,Mrs,NA,NA,NA
338,330,yes,1,female,16,0,1,57.9792,Cherbourg,Ms,Backbord,B,18
339,331,yes,3,female,22,2,0,23.25,Queenstown,Ms,NA,NA,NA
340,332,no,1,male,45.5,0,0,28.5,Southampton,Mr,Backbord,C,124
341,333,no,1,male,38,0,1,153.4625,Southampton,Mr,Steuerbord,C,91
342,334,no,3,male,16,2,0,18,Southampton,Mr,NA,NA,NA
343,335,yes,1,female,35,1,0,133.65,Southampton,Mrs,NA,NA,NA
344,336,no,3,male,30,0,0,7.8958,Southampton,Mr,NA,NA,NA
345,337,no,1,male,29,1,0,66.6,Southampton,Mr,Backbord,C,2
346,338,yes,1,female,41,0,0,134.5,Cherbourg,Ms,Backbord,E,40
347,339,yes,3,male,45,0,0,8.05,Southampton,Mr,NA,NA,NA
348,340,no,1,male,45,0,0,35.5,Southampton,Mr,,,
349,341,yes,2,male,2,1,1,26,Southampton,Master,Backbord,F,2
350,342,yes,1,female,24,3,2,263,Southampton,Ms,Steuerbord,C,23
351,25, 27,NA,,NA,NA,NA,NA,,,,,
352,343,no,2,male,28,0,0,13,Southampton,Mr,NA,NA,NA
353,344,no,2,male,25,0,0,13,Southampton,Mr,NA,NA,NA
354,345,no,2,male,36,0,0,13,Southampton,Mr,NA,NA,NA
355,346,yes,2,female,24,0,0,13,Southampton,Ms,Steuerbord,F,33
356,347,yes,2,female,40,0,0,13,Southampton,Ms,NA,NA,NA
357,348,yes,3,female,35,1,0,16.1,Southampton,Mrs,NA,NA,NA
