"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Side","Deck","CabinNumbers"
0,3,"male",11,5,2,46.9,"S",NA,NA,NA
0,3,"male",22,0,0,7.2292,"C",NA,NA,NA
1,1,"female",38,0,0,80,"","Backbord","B","28"
0,1,"male",45,1,0,83.475,"S","Steuerbord","C","83"
0,3,"male",4,3,2,27.9,"S",NA,NA,NA
0,1,"male",NA,0,0,27.7208,"C",NA,NA,NA
1,3,"male",NA,1,1,15.2458,"C",NA,NA,NA
1,2,"female",29,0,0,10.5,"S","Steuerbord","F","33"
0,3,"male",19,0,0,8.1583,"S",NA,NA,NA
1,3,"female",17,4,2,7.925,"S",NA,NA,NA
0,3,"male",26,2,0,8.6625,"S",NA,NA,NA
0,2,"male",32,0,0,10.5,"S",NA,NA,NA
0,3,"female",16,5,2,46.9,"S",NA,NA,NA
0,2,"male",21,0,0,73.5,"S",NA,NA,NA
0,3,"male",26,1,0,14.4542,"C",NA,NA,NA
1,3,"male",32,0,0,56.4958,"S",NA,NA,NA
0,3,"male",25,0,0,7.65,"S","Steuerbord","G","73"
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
1,2,"male",0.83,0,2,29,"S",NA,NA,NA
1,3,"female",30,0,0,12.475,"S",NA,NA,NA
0,3,"male",22,0,0,9,"S",NA,NA,NA
1,3,"male",29,0,0,9.5,"S",NA,NA,NA
1,3,"female",NA,0,0,7.7875,"Q",NA,NA,NA
0,1,"male",28,0,0,47.1,"S",NA,NA,NA
1,2,"female",17,0,0,10.5,"S",NA,NA,NA
1,3,"female",33,3,0,15.85,"S",NA,NA,NA
0,3,"male",16,1,3,34.375,"S",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
1,1,"female",23,3,2,263,"S","Steuerbord","C","23, 25, 27"
0,3,"male",24,0,0,8.05,"S",NA,NA,NA
0,3,"male",29,0,0,8.05,"S",NA,NA,NA
0,3,"male",20,0,0,7.8542,"S",NA,NA,NA
0,1,"male",46,1,0,61.175,"S","Steuerbord","E","31"
0,3,"male",26,1,2,20.575,"S",NA,NA,NA
0,3,"male",59,0,0,7.25,"S",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
0,1,"male",71,0,0,34.6542,"C","Steuerbord","A","5"
1,1,"male",23,0,1,63.3583,"C","Backbord","D","10, 12"
1,2,"female",34,0,1,23,"S",NA,NA,NA
0,2,"male",34,1,0,26,"S",NA,NA,NA
0,3,"female",28,0,0,7.8958,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,1,"male",21,0,1,77.2875,"S","Backbord","D","26"
0,3,"male",33,0,0,8.6542,"S",NA,NA,NA
0,3,"male",37,2,0,7.925,"S",NA,NA,NA
0,3,"male",28,0,0,7.8958,"S",NA,NA,NA
1,3,"female",21,0,0,7.65,"S",NA,NA,NA
1,3,"male",NA,0,0,7.775,"S",NA,NA,NA
0,3,"male",38,0,0,7.8958,"S",NA,NA,NA
1,3,"female",NA,1,0,24.15,"Q",NA,NA,NA
0,1,"male",47,0,0,52,"S","Backbord","C","110"
0,3,"female",14.5,1,0,14.4542,"C",NA,NA,NA
0,3,"male",22,0,0,8.05,"S",NA,NA,NA
0,3,"female",20,1,0,9.825,"S",NA,NA,NA
0,3,"female",17,0,0,14.4583,"C",NA,NA,NA
0,3,"male",21,0,0,7.925,"S",NA,NA,NA
0,3,"male",70.5,0,0,7.75,"Q",NA,NA,NA
0,2,"male",29,1,0,21,"S",NA,NA,NA
0,1,"male",24,0,1,247.5208,"C","Backbord","B","58, 60"
0,3,"female",2,4,2,31.275,"S",NA,NA,NA
0,2,"male",21,2,0,73.5,"S",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
0,2,"male",32.5,1,0,30.0708,"C",NA,NA,NA
1,2,"female",32.5,0,0,13,"S","Steuerbord","E","101"
0,1,"male",54,0,1,77.2875,"S","Backbord","D","26"
1,3,"male",12,1,0,11.2417,"C",NA,NA,NA
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
1,3,"male",24,0,0,7.1417,"S",NA,NA,NA
1,3,"female",NA,1,1,22.3583,"C","Steuerbord","E","69"
0,3,"male",45,0,0,6.975,"S",NA,NA,NA
0,3,"male",33,0,0,7.8958,"C",NA,NA,NA
0,3,"male",20,0,0,7.05,"S",NA,NA,NA
0,3,"female",47,1,0,14.5,"S",NA,NA,NA
1,2,"female",29,1,0,26,"S",NA,NA,NA
0,2,"male",25,0,0,13,"S",NA,NA,NA
0,2,"male",23,0,0,15.0458,"C",NA,NA,NA
1,1,"female",19,0,2,26.2833,"S","Steuerbord","D","47"
0,1,"male",37,1,0,53.1,"S","Steuerbord","C","123"
0,3,"male",16,0,0,9.2167,"S",NA,NA,NA
0,1,"male",24,0,0,79.2,"C","Backbord","B","86"
0,3,"female",NA,0,2,15.2458,"C",NA,NA,NA
1,3,"female",22,0,0,7.75,"S",NA,NA,NA
1,3,"female",24,1,0,15.85,"S",NA,NA,NA
0,3,"male",19,0,0,6.75,"Q",NA,NA,NA
0,2,"male",18,0,0,11.5,"S",NA,NA,NA
0,2,"male",19,1,1,36.75,"S",NA,NA,NA
1,3,"male",27,0,0,7.7958,"S",NA,NA,NA
0,3,"female",9,2,2,34.375,"S",NA,NA,NA
0,2,"male",36.5,0,2,26,"S","Backbord","F","2"
0,2,"male",42,0,0,13,"S",NA,NA,NA
0,2,"male",51,0,0,12.525,"S",NA,NA,NA
1,1,"female",22,1,0,66.6,"S","Backbord","C","2"
0,3,"male",55.5,0,0,8.05,"S",NA,NA,NA
0,3,"male",40.5,0,2,14.5,"S",NA,NA,NA
0,3,"male",NA,0,0,7.3125,"S",NA,NA,NA
0,1,"male",51,0,1,61.3792,"C",NA,NA,NA
1,3,"female",16,0,0,7.7333,"Q",NA,NA,NA
0,3,"male",30,0,0,8.05,"S",NA,NA,NA
0,3,"male",NA,0,0,8.6625,"S",NA,NA,NA
0,3,"male",NA,8,2,69.55,"S",NA,NA,NA
0,3,"male",44,0,1,16.1,"S",NA,NA,NA
1,2,"female",40,0,0,15.75,"S",NA,NA,NA
0,3,"male",26,0,0,7.775,"S",NA,NA,NA
0,3,"male",17,0,0,8.6625,"S",NA,NA,NA
0,3,"male",1,4,1,39.6875,"S",NA,NA,NA
1,3,"male",9,0,2,20.525,"S",NA,NA,NA
1,1,"female",NA,0,1,55,"S","Steuerbord","E","33"
0,3,"female",45,1,4,27.9,"S",NA,NA,NA
0,1,"male",NA,0,0,25.925,"S",NA,NA,NA
0,3,"male",28,0,0,56.4958,"S",NA,NA,NA
0,1,"male",61,0,0,33.5,"S","Steuerbord","B","19"
0,3,"male",4,4,1,29.125,"Q",NA,NA,NA
1,3,"female",1,1,1,11.1333,"S",NA,NA,NA
0,3,"male",21,0,0,7.925,"S",NA,NA,NA
0,1,"male",56,0,0,30.6958,"C","Steuerbord","A","7"
0,3,"male",18,1,1,7.8542,"S",NA,NA,NA
0,3,"male",NA,3,1,25.4667,"S",NA,NA,NA
0,1,"female",50,0,0,28.7125,"C","Steuerbord","C","49"
0,2,"male",30,0,0,13,"S",NA,NA,NA
0,3,"male",36,0,0,0,"S",NA,NA,NA
0,3,"female",NA,8,2,69.55,"S",NA,NA,NA
0,2,"male",NA,0,0,15.05,"C",NA,NA,NA
0,3,"male",9,4,2,31.3875,"S",NA,NA,NA
1,2,"male",1,2,1,39,"S","Backbord","F","4"
1,3,"female",4,0,2,22.025,"S",NA,NA,NA
0,1,"male",NA,0,0,50,"S","Backbord","A","32"
1,3,"female",NA,1,0,15.5,"Q",NA,NA,NA
1,1,"male",45,0,0,26.55,"S",NA,NA,NA
0,3,"male",40,1,1,15.5,"Q",NA,NA,NA
0,3,"male",36,0,0,7.8958,"S",NA,NA,NA
1,2,"female",32,0,0,13,"S",NA,NA,NA
0,2,"male",19,0,0,13,"S",NA,NA,NA
1,3,"female",19,1,0,7.8542,"S",NA,NA,NA
1,2,"male",3,1,1,26,"S","Backbord","F","2"
1,1,"female",44,0,0,27.7208,"C","Backbord","B","4"
1,1,"female",58,0,0,146.5208,"C","Backbord","B","80"
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
0,3,"male",42,0,1,8.4042,"S",NA,NA,NA
1,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
0,2,"female",24,0,0,13,"S",NA,NA,NA
0,3,"male",28,0,0,9.5,"S",NA,NA,NA
0,3,"male",NA,8,2,69.55,"S",NA,NA,NA
0,3,"male",34,0,0,6.4958,"S",NA,NA,NA
0,3,"male",45.5,0,0,7.225,"C",NA,NA,NA
1,3,"male",18,0,0,8.05,"S",NA,NA,NA
0,3,"female",2,0,1,10.4625,"S","Backbord","G","6"
0,3,"male",32,1,0,15.85,"S",NA,NA,NA
1,3,"male",26,0,0,18.7875,"C",NA,NA,NA
1,3,"female",16,0,0,7.75,"Q",NA,NA,NA
1,1,"male",40,0,0,31,"C","Steuerbord","A","31"
0,3,"male",24,0,0,7.05,"S",NA,NA,NA
1,2,"female",35,0,0,21,"S",NA,NA,NA
0,3,"male",22,0,0,7.25,"S",NA,NA,NA
0,2,"male",30,0,0,13,"S",NA,NA,NA
0,3,"male",NA,1,0,7.75,"Q",NA,NA,NA
1,1,"female",31,1,0,113.275,"C","Backbord","D","36"
1,3,"female",27,0,0,7.925,"S",NA,NA,NA
0,2,"male",42,1,0,27,"S",NA,NA,NA
1,1,"female",32,0,0,76.2917,"C","Steuerbord","D","15"
0,2,"male",30,0,0,10.5,"S",NA,NA,NA
1,3,"male",16,0,0,8.05,"S",NA,NA,NA
0,2,"male",27,0,0,13,"S",NA,NA,NA
0,3,"male",51,0,0,8.05,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
1,1,"male",38,1,0,90,"S","Steuerbord","C","93"
0,3,"male",22,0,0,9.35,"S",NA,NA,NA
1,2,"male",19,0,0,10.5,"S",NA,NA,NA
0,3,"male",20.5,0,0,7.25,"S",NA,NA,NA
0,2,"male",18,0,0,13,"S",NA,NA,NA
0,3,"female",NA,3,1,25.4667,"S",NA,NA,NA
1,1,"female",35,1,0,83.475,"S","Steuerbord","C","83"
0,3,"male",29,0,0,7.775,"S",NA,NA,NA
0,2,"male",59,0,0,13.5,"S",NA,NA,NA
1,3,"female",5,4,2,31.3875,"S",NA,NA,NA
0,2,"male",24,0,0,10.5,"S",NA,NA,NA
0,3,"female",NA,0,0,7.55,"S",NA,NA,NA
0,2,"male",44,1,0,26,"S",NA,NA,NA
1,2,"female",8,0,2,26.25,"S",NA,NA,NA
0,2,"male",19,0,0,10.5,"S",NA,NA,NA
0,2,"male",33,0,0,12.275,"S",NA,NA,NA
0,3,"female",NA,1,0,14.4542,"C",NA,NA,NA
1,3,"female",NA,1,0,15.5,"Q",NA,NA,NA
0,2,"male",29,0,0,10.5,"S",NA,NA,NA
0,3,"male",22,0,0,7.125,"S",NA,NA,NA
0,3,"male",30,0,0,7.225,"C",NA,NA,NA
0,1,"male",44,2,0,90,"Q","Backbord","C","78"
0,3,"female",25,0,0,7.775,"S",NA,NA,NA
1,2,"female",24,0,2,14.5,"S",NA,NA,NA
1,1,"male",37,1,1,52.5542,"S","Steuerbord","D","35"
0,2,"male",54,1,0,26,"S",NA,NA,NA
0,3,"male",NA,0,0,7.25,"S",NA,NA,NA
0,3,"female",29,1,1,10.4625,"S","Backbord","G","6"
0,1,"male",62,0,0,26.55,"S","Steuerbord","C","87"
0,3,"male",30,1,0,16.1,"S",NA,NA,NA
0,3,"female",41,0,2,20.2125,"S",NA,NA,NA
1,3,"female",29,0,2,15.2458,"C",NA,NA,NA
1,1,"female",NA,0,0,79.2,"C",NA,NA,NA
1,1,"female",30,0,0,86.5,"S","Steuerbord","B","77"
1,1,"female",35,0,0,512.3292,"C",NA,NA,NA
1,2,"female",50,0,1,26,"S",NA,NA,NA
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
1,3,"male",3,4,2,31.3875,"S",NA,NA,NA
0,1,"male",52,1,1,79.65,"S","Steuerbord","E","67"
0,1,"male",40,0,0,0,"S","Backbord","B","94"
0,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
0,2,"male",36,0,0,10.5,"S",NA,NA,NA
0,3,"male",16,4,1,39.6875,"S",NA,NA,NA
1,3,"male",25,1,0,7.775,"S",NA,NA,NA
1,1,"female",58,0,1,153.4625,"S","Steuerbord","C","125"
1,1,"female",35,0,0,135.6333,"S","Steuerbord","C","99"
0,1,"male",NA,0,0,31,"S",NA,NA,NA
1,3,"male",25,0,0,0,"S",NA,NA,NA
1,2,"female",41,0,1,19.5,"S",NA,NA,NA
0,1,"male",37,0,1,29.7,"C","Backbord","C","118"
1,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
1,1,"female",63,1,0,77.9583,"S","Steuerbord","D","7"
0,3,"female",45,0,0,7.75,"S",NA,NA,NA
0,2,"male",NA,0,0,0,"S",NA,NA,NA
0,3,"male",7,4,1,29.125,"Q",NA,NA,NA
1,3,"female",35,1,1,20.25,"S",NA,NA,NA
0,3,"male",65,0,0,7.75,"Q",NA,NA,NA
0,3,"male",28,0,0,7.8542,"S",NA,NA,NA
0,3,"male",16,0,0,9.5,"S",NA,NA,NA
1,3,"male",19,0,0,8.05,"S",NA,NA,NA
0,1,"male",NA,0,0,26,"S","Steuerbord","A","19"
0,3,"male",33,0,0,8.6625,"C",NA,NA,NA
1,3,"male",30,0,0,9.5,"S",NA,NA,NA
0,3,"male",22,0,0,7.8958,"S",NA,NA,NA
1,2,"male",42,0,0,13,"S",NA,NA,NA
1,3,"female",22,0,0,7.75,"Q",NA,NA,NA
1,1,"female",26,0,0,78.85,"S",NA,NA,NA
1,1,"female",19,1,0,91.0792,"C","Steuerbord","B","49"
0,2,"male",36,0,0,12.875,"C","","",""
0,3,"female",24,0,0,8.85,"S",NA,NA,NA
0,3,"male",24,0,0,7.8958,"S",NA,NA,NA
0,1,"male",NA,0,0,27.7208,"C",NA,NA,NA
0,3,"male",23.5,0,0,7.2292,"C",NA,NA,NA
0,1,"female",2,1,2,151.55,"S","Backbord","C","22, 26"
1,1,"male",NA,0,0,30.5,"S","Backbord","C","106"
1,1,"female",50,0,1,247.5208,"C","Backbord","B","58, 60"
1,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
1,3,"male",NA,2,0,23.25,"Q",NA,NA,NA
0,3,"male",19,0,0,0,"S",NA,NA,NA
1,2,"female",NA,0,0,12.35,"Q","Steuerbord","E","101"
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
1,1,"male",0.92,1,2,151.55,"S","Backbord","C","22, 26"
1,1,"female",NA,0,0,110.8833,"C",NA,NA,NA
1,1,"female",17,1,0,108.9,"C","Steuerbord","C","65"
0,2,"male",30,1,0,24,"C",NA,NA,NA
1,1,"female",30,0,0,56.9292,"C","Backbord","E","36"
1,1,"female",24,0,0,83.1583,"C","Backbord","C","54"
1,1,"female",18,2,2,262.375,"C","Steuerbord, Backbord","B","57, 59, 63, 66"
0,2,"female",26,1,1,26,"S",NA,NA,NA
0,3,"male",28,0,0,7.8958,"S",NA,NA,NA
0,2,"male",43,1,1,26.25,"S",NA,NA,NA
1,3,"female",26,0,0,7.8542,"S",NA,NA,NA
1,2,"female",24,1,0,26,"S",NA,NA,NA
0,2,"male",54,0,0,14,"S",NA,NA,NA
1,1,"female",31,0,2,164.8667,"S","Steuerbord","C","7"
1,1,"female",40,1,1,134.5,"C","Backbord","E","34"
0,3,"male",22,0,0,7.25,"S",NA,NA,NA
0,3,"male",27,0,0,7.8958,"S",NA,NA,NA
1,2,"female",30,0,0,12.35,"Q",NA,NA,NA
1,2,"female",22,1,1,29,"S",NA,NA,NA
0,3,"male",NA,8,2,69.55,"S",NA,NA,NA
1,1,"female",36,0,0,135.6333,"C","Backbord","C","32"
0,3,"male",61,0,0,6.2375,"S",NA,NA,NA
1,2,"female",36,0,0,13,"S","","",""
1,3,"female",31,1,1,20.525,"S",NA,NA,NA
1,1,"female",16,0,1,57.9792,"C","Backbord","B","18"
1,3,"female",NA,2,0,23.25,"Q",NA,NA,NA
0,1,"male",45.5,0,0,28.5,"S","Backbord","C","124"
0,1,"male",38,0,1,153.4625,"S","Steuerbord","C","91"
0,3,"male",16,2,0,18,"S",NA,NA,NA
1,1,"female",NA,1,0,133.65,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,1,"male",29,1,0,66.6,"S","Backbord","C","2"
1,1,"female",41,0,0,134.5,"C","Backbord","E","40"
1,3,"male",45,0,0,8.05,"S",NA,NA,NA
0,1,"male",45,0,0,35.5,"S","","",""
1,2,"male",2,1,1,26,"S","Backbord","F","2"
1,1,"female",24,3,2,263,"S","Steuerbord","C","23, 25, 27"
0,2,"male",28,0,0,13,"S",NA,NA,NA
0,2,"male",25,0,0,13,"S",NA,NA,NA
0,2,"male",36,0,0,13,"S",NA,NA,NA
1,2,"female",24,0,0,13,"S","Steuerbord","F","33"
1,2,"female",40,0,0,13,"S",NA,NA,NA
1,3,"female",NA,1,0,16.1,"S",NA,NA,NA
1,3,"male",3,1,1,15.9,"S",NA,NA,NA
0,3,"male",42,0,0,8.6625,"S",NA,NA,NA
0,3,"male",23,0,0,9.225,"S",NA,NA,NA
0,1,"male",NA,0,0,35,"S","Backbord","C","128"
0,3,"male",15,1,1,7.2292,"C",NA,NA,NA
0,3,"male",25,1,0,17.8,"S",NA,NA,NA
0,3,"male",NA,0,0,7.225,"C",NA,NA,NA
0,3,"male",28,0,0,9.5,"S",NA,NA,NA
1,1,"female",22,0,1,55,"S","Steuerbord","E","33"
0,2,"female",38,0,0,13,"S",NA,NA,NA
1,3,"female",NA,0,0,7.8792,"Q",NA,NA,NA
1,3,"female",NA,0,0,7.8792,"Q",NA,NA,NA
0,3,"male",40,1,4,27.9,"S",NA,NA,NA
0,2,"male",29,1,0,27.7208,"C",NA,NA,NA
0,3,"female",45,0,1,14.4542,"C",NA,NA,NA
0,3,"male",35,0,0,7.05,"S",NA,NA,NA
0,3,"male",NA,1,0,15.5,"Q",NA,NA,NA
0,3,"male",30,0,0,7.25,"S",NA,NA,NA
1,1,"female",60,1,0,75.25,"C","Steuerbord","D","37"
1,3,"female",NA,0,0,7.2292,"C",NA,NA,NA
1,3,"female",NA,0,0,7.75,"Q",NA,NA,NA
1,1,"female",24,0,0,69.3,"C","Steuerbord","B","35"
1,1,"male",25,1,0,55.4417,"C","Backbord","E","50"
0,3,"male",18,1,0,6.4958,"S",NA,NA,NA
0,3,"male",19,0,0,8.05,"S",NA,NA,NA
0,1,"male",22,0,0,135.6333,"C",NA,NA,NA
0,3,"female",3,3,1,21.075,"S",NA,NA,NA
1,1,"female",NA,1,0,82.1708,"C",NA,NA,NA
1,3,"female",22,0,0,7.25,"S",NA,NA,NA
0,1,"male",27,0,2,211.5,"C","Backbord","C","82"
0,3,"male",20,0,0,4.0125,"C",NA,NA,NA
0,3,"male",19,0,0,7.775,"S",NA,NA,NA
1,1,"female",42,0,0,227.525,"C",NA,NA,NA
1,3,"female",1,0,2,15.7417,"C",NA,NA,NA
0,3,"male",32,0,0,7.925,"S",NA,NA,NA
1,1,"female",35,1,0,52,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,2,"male",18,0,0,73.5,"S",NA,NA,NA
0,3,"male",1,5,2,46.9,"S",NA,NA,NA
1,2,"female",36,0,0,13,"S",NA,NA,NA
0,3,"male",NA,0,0,7.7292,"Q",NA,NA,NA
1,2,"female",17,0,0,12,"C",NA,NA,NA
1,1,"male",36,1,2,120,"S","Backbord","B","96, 98"
1,3,"male",21,0,0,7.7958,"S",NA,NA,NA
0,3,"male",28,2,0,7.925,"S",NA,NA,NA
1,1,"female",23,1,0,113.275,"C","Backbord","D","36"
1,3,"female",24,0,2,16.7,"S","Backbord","G","6"
0,3,"male",22,0,0,7.7958,"S",NA,NA,NA
0,3,"female",31,0,0,7.8542,"S",NA,NA,NA
0,2,"male",46,0,0,26,"S",NA,NA,NA
0,2,"male",23,0,0,10.5,"S",NA,NA,NA
1,2,"female",28,0,0,12.65,"S",NA,NA,NA
1,3,"male",39,0,0,7.925,"S",NA,NA,NA
0,3,"male",26,0,0,8.05,"S",NA,NA,NA
0,3,"female",21,1,0,9.825,"S",NA,NA,NA
0,3,"male",28,1,0,15.85,"S",NA,NA,NA
0,3,"female",20,0,0,8.6625,"S",NA,NA,NA
0,2,"male",34,1,0,21,"S",NA,NA,NA
0,3,"male",51,0,0,7.75,"S",NA,NA,NA
1,2,"male",3,1,1,18.75,"S",NA,NA,NA
0,3,"male",21,0,0,7.775,"S",NA,NA,NA
0,3,"female",NA,3,1,25.4667,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"S",NA,NA,NA
0,3,"male",NA,0,0,6.8583,"Q",NA,NA,NA
1,1,"female",33,1,0,90,"Q","Backbord","C","78"
0,2,"male",NA,0,0,0,"S",NA,NA,NA
1,3,"male",44,0,0,7.925,"S",NA,NA,NA
0,3,"female",NA,0,0,8.05,"S",NA,NA,NA
1,2,"female",34,1,1,32.5,"S",NA,NA,NA
1,2,"female",18,0,2,13,"S",NA,NA,NA
0,2,"male",30,0,0,13,"S",NA,NA,NA
0,3,"female",10,0,2,24.15,"S",NA,NA,NA
0,3,"male",NA,0,0,7.8958,"C",NA,NA,NA
0,3,"male",21,0,0,7.7333,"Q",NA,NA,NA
0,3,"male",29,0,0,7.875,"S",NA,NA,NA
0,3,"female",28,1,1,14.4,"S",NA,NA,NA
0,3,"male",18,1,1,20.2125,"S",NA,NA,NA
0,3,"male",NA,0,0,7.25,"S",NA,NA,NA
1,2,"female",28,1,0,26,"S",NA,NA,NA
1,2,"female",19,0,0,26,"S",NA,NA,NA
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
1,3,"male",32,0,0,8.05,"S","Backbord","E","10"
1,1,"male",28,0,0,26.55,"S","Backbord","C","52"
1,3,"female",NA,1,0,16.1,"S",NA,NA,NA
1,2,"female",42,1,0,26,"S",NA,NA,NA
0,3,"male",17,0,0,7.125,"S",NA,NA,NA
0,1,"male",50,1,0,55.9,"S","Backbord","E","44"
1,1,"female",14,1,2,120,"S","Backbord","B","96, 98"
0,3,"female",21,2,2,34.375,"S",NA,NA,NA
1,2,"female",24,2,3,18.75,"S",NA,NA,NA
0,1,"male",64,1,4,263,"S","Steuerbord","C","23, 25, 27"
0,2,"male",31,0,0,10.5,"S",NA,NA,NA
1,2,"female",45,1,1,26.25,"S",NA,NA,NA
0,3,"male",20,0,0,9.5,"S",NA,NA,NA
0,3,"male",25,1,0,7.775,"S",NA,NA,NA
1,2,"female",28,0,0,13,"S",NA,NA,NA
1,3,"male",NA,0,0,8.1125,"S",NA,NA,NA
1,1,"male",4,0,2,81.8583,"S","Backbord","A","34"
1,2,"female",13,0,1,19.5,"S",NA,NA,NA
1,1,"male",34,0,0,26.55,"S",NA,NA,NA
1,3,"female",5,2,1,19.2583,"C",NA,NA,NA
1,1,"male",52,0,0,30.5,"S","Backbord","C","104"
0,2,"male",36,1,2,27.75,"S",NA,NA,NA
0,3,"male",NA,1,0,19.9667,"S",NA,NA,NA
0,1,"male",30,0,0,27.75,"C","Steuerbord","C","111"
1,1,"male",49,1,0,89.1042,"C","Backbord","C","92"
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
1,3,"male",29,0,0,7.8958,"C",NA,NA,NA
0,1,"male",65,0,0,26.55,"S","Backbord","E","38"
1,1,"female",NA,1,0,51.8625,"S","Steuerbord","D","21"
1,2,"female",50,0,0,10.5,"S",NA,NA,NA
0,3,"male",NA,0,0,7.75,"Q",NA,NA,NA
1,1,"male",48,0,0,26.55,"S","Backbord","E","12"
0,3,"male",34,0,0,8.05,"S",NA,NA,NA
0,1,"male",47,0,0,38.5,"S","Steuerbord","E","63"
0,2,"male",48,0,0,13,"S",NA,NA,NA
0,3,"male",NA,0,0,8.05,"S",NA,NA,NA
0,3,"male",38,0,0,7.05,"S",NA,NA,NA
